a cappella,avb/adj,singing
à la carte,adj,by-the-list
aardvark,n,ant bear
abacus,n,reckonboard 
abandon,vb,shed
abandon,n,wantonness
abandonment,n,forsaking
abase,vb,cheapen
abash,vb,faze
abate,vb,drain away
abattoir,n,slaughterhouse
abbess,n,mother
abbreviation,n,short for
abdicate,vb,step down
abdomen,n,kite
abduct,vb,kidnap
aberrant,n,black-sheep
aberration,n,freak
abet,vb,goad
abhor,vb,hate
ability,n,skill
abject,adj,low
abjure,vb,forswear
ablactate,vb,wean
ablation,n,offtaking
ablative,adj,atbraidingly
ablaut,n,offloud
able,adj,fit
able to,phr,can
ablution,n,washing
abnegate,vb,forgo
abnormal,adj,amiss
abolish,vb,end
abominable,adj,awful
aboriginal,adj,inborn
aborigine,n,orfolk 
abort,vb,lay off
abortion,n,misbirth
abound,vb,brim
abrasion,n,graze
abridge,vb,cut back
abrupt,adj,anon
abscess,n,swelling
abscond,vb,break out
absence,n,time off
absent,adj,missing
absenteeism,n,how often out
absent-mindedness,n,daydreaming
absinthe,n,wormwood drink
absolute,adj,unanswering
absolve,vb,forgive
absorb,vb,drink
abstinence,n,forbearing
abstract,vb,withdraw
abstract,adj,dreamlike
abstract,n,withdrawal
abundance,n,wealth
abundant,adj,teeming
abuse,vb,scathe
abysmal,adj,lowest
acacia,n,thorn tree
academia,n,learnedom
açaí,n,koleberry
accede,vb,agree
accelerate,vb,speed up
acceleration,n,speeding up
accent,n,twang
accept,vb,swallow
acceptable,adj,all right
access,n,doorway
accessible,adj,at hand
accessory,n,bykeeper
accident,n,mishap
accidental,adj,unwitting
accompany,vb,go with
accomplishment,n,bringing
accord,n,deal
accordion,n,bellowharp
according to,adj,as of
account,n,ledger
account of,vb,take of
accountant,n,teller 
accumulate,vb,heap
accumulation,vb,unheaping
accurate,adj,right on
accuse,vb,wray
accustom,vb,wean
accustomed,adj,wont
acephalous,adj,headless 
acetone,n,sourghost
achievement,n,bringing
acne,n,redmeal 
aconite,n,wolfsbane
acoustics,n,dinlore
acquaint,vb,befriend
acquaintance,n,friend
acquiesce,vb,bow
acquire,vb,earn
acquisition,n,windfall 
acrobat,n,stringtumb
acropolis,n,high town
act,n,deed
act,vb,do
actinium,n,beamshaft
action,n,deed 
activate,vb,switch on
active,adj,switched on
activist,n,browbeater
actor/actress,n,player
actual,adj,sooth
acupuncture,n,pinpricking
acute,adj,sharp
adamant,adj,unyielding
adaptable,adj,onwending 
adapter,n,eck-on
add,vb,fay
add up,vb,cast up
addict,n,soughtier 
addicted,adj,soughty 
addiction,n,craving
addition,n,faying
additional,adj,bycoming 
address,vb,call
address,n,link
adept,adj,skillful
adequate,adj,right
adhere,vb,cling
adherence to good morals,n,thewfastness
adherent,n,follower
adiposis,n,overweight
adjacent,adj,near
adjective,n,mark-word 
adjunct,n,helpmate
adjust,vb,set
admonish,vb,formone 
administer,vb,wield
administration,n,dealing
admiral,n,fleethelm
admire,vb,look up to
admission,n,doorway
admit,vb,let in
admonish,vb,chide
adolescence,n,youthhood
adolescent,n,youth
adopt,vb,take on
adoption,n,fostering
adorable,adj,comely
adorn,vb,bedeck 
adrenaline,n,thringweald
adulation,n,hallowing
adult,n,grown-up
adulthood,n,waxenhood
adultery,n,wedlock breach
adumbrate,vb,outline
advance,vb,make inroads
advance,n,inroads
advanced,adj,quick
advancing,adj,striding
advantage,n,boon
advantageous,adj,helpful
advection,n,Tobearing
advent,n,coming
adventure,n,happening
adventurous,adj,daring
adverb,n,byword 
adversarial,n,thwartsome 
adversary,n,foe
adversity,n,ill
adversive,n,thwartsome
advertize,vb,boost
advertisement,n,boostering
advice,n,tip
advisable,adj,Redesome 
advise,vb,Beread
advocacy,n,boost
aerial,adj,skywards
aerodynamic,adj,streamlined
aerodynamics,n,loftcraft 
aeronaut,n,flyer
aerospace,n,skycraft
Æsir,n,ghosts
aesthetic,adj,comely
affair,n,fling
affect,vb,lead to
affection,n,fondness
affectionate,adj,loving
affiance,vb,betroth
affinity,n,leaning
affirm,vb,foraye 
affix,n,stick on
afflict,vb,ail
affluence,n,wealth
affluent,adj,wealthy
afraid,adj,aghast
Africa,n,Highsun
age,n,oldness
age,vb,olden
aged,adj,elderly
agenda,n,to-do-list
agglomerate,vb,huddle
agglomeration,n,crowding
agglutinate,vb,wordlink
aggressive,adj,go-getting
aggressor,n,raider
agile,adj,nimble
agitation,n,worry
aglet,n,needling
agoraphobia,n,steadfear
agree,vb,settle on
agreeable,adj,likeworthy
agreement,n,deal
agrarian/agricultural,adj,field 
agriculture,n,farming
agrostology,n,grasslore
aichmophobia,n,needlefright
aid,n,helpmate
aid,vb,help
aimsome,adj,single-minded 
AIDS,n,Earned Bodyweir Scantness Sickness
aim,n,goal
aim at,vb,eye for
air force,n,sky might
airplane/ aeroplane,n,wing craft
airport,n,flight field 
airship,n,Zeppelin
aisle,n,path
alarm clock,n,waker 
albedo,n,whiteness 
albino,n,whiteling
album,n,whitebookmusic album 
albumen,n,egg white
alchemy,n,orecraft
alcohol,n,booze
alcoholic,adj,boozer
alcoholic,n,sot
alert,adj,awake
algorithm,n,reckonwrit
alienate,vb,Befremd 
alienation,n,unfriendliness
align,vb,set up
allegiance,n,truthness
allegory,n,likeness
allergy,n,overfeeling
alleviate,vb,allay
alley,n,walk
alliance,n,bond
allied,adj,banded
alligator,n,broadmouthnix
alliteration,n,staverime
allocate,vb,earmark
allotment,n,fordealing
allow,vb,let 
allowable,adj,thwaresome
alloy,n,mix
All Saints Day,n,Allhallowsmas
allude,vb,hint 
allure,vb,draw to
Ally,n,Ithoft
almanac,n,yearbook
alphabet,n,ABCs
altar,n,weved 
alter,vb,shift
altercation,n,flite
alternative,adj,other
altitude,n,height
altruism,n,selflessness
altruistic,adj,selfless
aluminium,n,evenshaft
aluminum,n,canshaft
amass,vb,gather
amateur,n,greenhorn
amazon,n,bandfighters 
ambassador,n,rikesboder
amber,n,brimstone
ambidextrous,adj,both-handed
ambience,n,mood
ambiguous,adj,twiwordy 
ambiguity,n,twiwordiness
ambivalence,n,waver
ambivert,n,twigoer
ambiverted,adj,twigoing
ambulance,n,sickwain 
ambulant,adj,roving
ameliorate,vb,better
America,n,New World
americium,n,emeryshaft
amicable,adj,friendly
amigo,n,friend
ammonia,n,hartshorn
amnesia,n,blackout
amoeba,n,shapeshifter
amorphous,adj,shapeless
amount,n,score
amount,vb,come up
ampersand,n,andtoken
amphibian,n,lurrow 
amphibious,adj,two-breathed 
amphitheater,n,playstow
ample,adj,broad
amplifier,n,forstronger
amplify,vb,outbroaden 
amplitude,n,breadth
amusement,n,fun
